科目,年级,香港 (中四至中六),内地 (高一至高三)
数学​,中四/高一​,"核心代数与函数：二次方程、函数与图像、直线方程、多项式、指数与对数函数、基础三角学。
几何：圆的几何（弦、切线、圆心角、圆周角定理）。
统计与概率：概率的基本定义与运算法则。","必修第一册：集合与常用逻辑用语、一元二次函数/方程/不等式、函数概念与性质（单调性、奇偶性）、指数函数与对数函数、三角函数（任意角、诱导公式、图像与性质）。
必修第二册：平面向量及其应用、复数、立体几何初步、统计（随机抽样、用样本估计总体）、概率（随机事件、古典概型）。"
,中五/高二​,"进阶代数与函数：圆与切线、不等式与线性规划、函数图像的进一步认识、排列与组合、概率。
几何：圆的方程、轨迹、平面与立体三角学（解三角形）。
统计：离差的量度、统计的应用。","选择性必修课程：
几何与代数：空间向量与立体几何、平面解析几何（直线与圆、圆锥曲线）。
函数：数列、导数及其应用。
概率与统计：计数原理、随机变量及其分布、成对数据的统计分析。"
,中六/高三​,"综合与深化：等差数列与等比数列及其求和法、立体三角学（三维问题）、坐标几何、统计与概率（续）、图像变换与对数函数。
选修单元：微积分与统计（M1）或代数与微积分（M2）。",总复习与深化：在完成选择性必修课程的基础上，进行知识整合与综合应用，备战高考。部分学校或地区可能涉及选修课程内容。
物理​,中四/高一​,热学与力学基础：温度/热与内能、热转移、物态改变、位置与移动、力与运动（牛顿定律）、功/能量和功率、动量、抛体运动。,"必修1 & 必修2：机械运动与物理模型、相互作用与运动定律、机械能及其守恒定律、曲线运动与万有引力定律。
必修3：牛顿力学的局限性与相对论初步（部分内容）。"
,中五/高二​,力学进阶与波、电、磁：匀速圆周运动、引力、波的本质和特性、光（反射、折射、透镜、波动性）、声音、静电学、电路和家居用电、电磁学（磁场、电磁感应、交流电）。,"选择性必修系列：
选择性必修1：动量守恒定律、机械振动与波。
选择性必修2：静电场、电路及其应用、电磁场与电磁波初步。
选择性必修3：固体、液体和气体、热力学定律、原子与原子核、波粒二象性。"
,中六/高三​,"现代物理与选修：放射现象与核能（辐射、原子模型、核能）。
选修部分（四选二）：天文学和航天科学、原子世界、能量和能源的使用、医学物理学。",总复习与深化：完成选择性必修课程（如光学、原子物理等），并进行系统复习和综合训练。部分地区可能涉及更深入的近代物理专题。
化学​,中四/高一​,宏观到微观的入门：地球（大气、海洋、岩石与矿物）、微观世界 I（原子结构、周期表、化学键、金属键、离子键、共价键）。,"化学1：化学实验基础、常见无机物及其应用（钠、铁、氯、氮、硫等）。
化学2：物质结构基础（原子结构、元素周期律）、化学反应与能量（氧化还原反应、化学能与热能）、化学与可持续发展（简单有机化合物-甲烷、乙烯、苯、乙醇、乙酸等）。"
,中五/高二​,核心反应原理与有机化学：金属、酸和碱、化石燃料和碳化合物（有机化学入门）、微观世界 II（分子间作用力、分子形状等）、氧化还原反应、化学电池和电解。,"选择性必修课程：
化学反应原理：化学反应与能量、化学反应速率与化学平衡、水溶液中的离子反应与平衡。
有机化学基础：有机化合物的组成与结构、烃及其衍生物的性质与应用、生物大分子及合成高分子。"
,中六/高三​,"动力学与平衡：化学反应和能量（焓变）、反应速率、化学平衡。
选修部分：如工业化学、分析化学等。",总复习与深化：整合必修与选择性必修知识，重点掌握物质结构与性质（选择性必修模块）等，并进行综合复习。
生物​,中四/高一​,细胞生物学与植物生理：物质穿越细胞膜的运输、酶和新陈代谢、人的营养、人体的气体交换、人体内物质的转运、植物的营养和气体交换、植物的蒸腾/转运和支持、细胞周期和分裂、有花植物的生殖。,必修1《分子与细胞》：细胞的分子组成、细胞的结构（细胞器、细胞膜、细胞核）、细胞的代谢（酶、ATP、细胞呼吸、光合作用）、细胞的生命历程（增殖、分化、衰老、凋亡）。
,中五/高二​,动物生理、遗传与健康：人的生殖、光合作用、呼吸作用、非传染病、传染病和疾病的预防、身体的防御机制（免疫）、基础遗传学（孟德尔定律）、分子遗传学（DNA、基因表达）、生物工程入门。,必修2《遗传与进化》：遗传的细胞基础（减数分裂）、遗传的分子基础（DNA是遗传物质、DNA复制、基因表达）、遗传的基本规律（孟德尔定律）、生物的变异（基因突变、染色体变异）、现代生物进化理论。
,中六/高三​,"进化、生态与选修：生物多样性与进化。
健康与疾病：个人健康、疾病、身体防御机制。
选修部分（四选二）：人体生理学:调节与控制、应用生态学、微生物与人类、生物工程。","必修3《稳态与环境》：人体的内环境与稳态、动物和人体生命活动的调节（神经、体液、免疫）、植物的激素调节、种群和群落、生态系统及其稳定性、生态环境的保护。
选择性必修：如《生物技术与工程》模块。"
